n,RBF,Gaussian,Polynomial,Oracle
10,0.02,0.007,0.001,0.73
21,0.008,0.0,0.0,0.987
45,0.006,0.0,0.001,1.0
96,0.004,0.0,0.0,1.0
206,0.192,0.0,0.0,1.0
440,0.516,0.0,0.0,1.0
938,0.874,0.0,0.0,1.0
2000,0.973,0.0,0.0,1.0
