n,RBF,Gaussian,Polynomial,Oracle
10,0.013,0.004,0.013,0.252
21,0.004,0.002,0.003,0.385
45,0.002,0.001,0.004,0.771
96,0.013,0.002,0.001,0.981
206,0.029,0.001,0.001,1.0
440,0.083,0.001,0.004,1.0
938,0.297,0.0,0.013,1.0
2000,0.573,0.0,0.024,1.0
