n,RBF,Gaussian,Polynomial,Oracle
10,0.195,0.039,0.297,0.735
48,0.373,0.364,0.311,0.999
86,0.67,0.717,0.545,1.0
124,0.767,0.81,0.687,1.0
162,0.866,0.897,0.79,1.0
200,0.905,0.932,0.791,1.0
